Date,RA,RS,R,D,H,HC,I,Contacts,gammared,Calls,Positivity,Parks,Pdet,Dayadjust
12/09/2020,12341.6871339475,23189.3128660525,35531,467,2194,523,39.1428571428571,1.04880756449811,0.499412073151323,1886.71428571429,0.0826740977715852,71.5510204081633,0.30448889,0.863673756590083
13/09/2020,12612.3485096089,23705.6514903911,36318,472,2203,530,39.5714285714286,1.04204146003295,0.502114709254477,1972.57142857143,0.0876250252022757,74.8775510204082,0.31066946,0.566290707955353
14/09/2020,12945.9598303636,24406.0401696364,37352,478,2263,543,36.2857142857143,1.0352753555678,0.50481734535763,2273.14285714286,0.096875592993804,78.2040816326531,0.31607692,0.755015610986148
15/09/2020,13453.1382690253,25572.8617309747,39026,488,2362,557,35.5714285714286,1.02850925110265,0.507519981460784,2641.57142857143,0.100351984464134,81.530612244898,0.3173741,1.2236267604079
16/09/2020,14119.9714358585,27042.0285641415,41162,495,2420,573,33.1428571428571,1.02174314663749,0.510222617563938,2990.85714285714,0.102772181031943,84.8571428571429,0.30681208,1.28202667122578
17/09/2020,15088.2315006433,29196.7684993567,44285,502,2538,582,30.2857142857143,1.01497704217234,0.512925253667092,3411.28571428571,0.101827960332017,84.1428571428572,0.28608696,1.0190445124116
18/09/2020,15813.1513577133,30578.8486422867,46392,514,2632,589,33.5714285714286,1.00991848814023,0.51290634272345,3948,0.103706540052075,83.4285714285715,0.25772973,1.56040892569938
19/09/2020,16410.592094192,32025.407905808,48436,522,2659,586,32,1.00485993410812,0.512887431779808,4133,0.107509535798821,82.7142857142858,0.24433824,0.937620352883157
20/09/2020,16666.1956977956,32753.8043022044,49420,528,2723,613,35.7142857142857,0.999801380076011,0.512868520836165,4233,0.107244502901814,82.0000000000001,0.25786241,0.580280203002064
21/09/2020,17138.2528406527,33755.7471593473,50894,543,2818,637,36,0.994742826043901,0.512849609892523,4643.85714285714,0.105882790974756,81.2857142857143,0.26058968,0.711529608014374
22/09/2020,17746.9739032713,35541.0260967287,53288,553,2908,651,37,0.989684272011791,0.512830698948881,5071.57142857143,0.110833014339978,80.5714285714286,0.25618605,1.1868765477068
23/09/2020,18357.8736070377,37236.1263929623,55594,575,3019,686,38.7142857142857,0.984625717979682,0.512811788005238,5628.57142857143,0.110202641098791,79.8571428571429,0.24410088,1.28012297402939
24/09/2020,19187.8581689829,39316.1418310171,58504,585,3144,718,36.7142857142857,0.979567163947572,0.512792877061596,6033.57142857143,0.112324344157035,73.7142857142858,0.23408624,1.18357425453015
25/09/2020,20085.0772166019,41362.922783398,61448,595,3314,749,36.2857142857143,0.97457533747067,0.512774357002565,6234.57142857143,0.117121653445711,67.5714285714286,0.20673624,1.37055531856601
26/09/2020,20674.999546699,42749.000453301,63424,611,3334,772,36.2857142857143,0.969583510993768,0.512755836943535,6461.71428571429,0.117470602351812,61.4285714285715,0.18525862,0.982697723393764
27/09/2020,21148.8177285172,43578.1822714828,64727,627,0,0,32.2857142857143,0.964591684516866,0.512737316884505,6647,0.12366125916406,55.2857142857143,0.17271523,0.587130193764763
28/09/2020,21602.2225977688,44410.7774022312,66013,638,0,0,33.4285714285714,0.959599858039964,0.512718796825474,6856.14285714286,0.127582827211671,49.1428571428572,0.16543614,0.673568449709927
29/09/2020,22187.9853096332,45785.0146903668,67973,658,0,0,33.1428571428571,0.954608031563062,0.512700276766444,7020.85714285714,0.133883279192204,43.0000000000001,0.19620472,1.15517924372665
30/09/2020,23093.7140125124,47799.2859874876,70893,674,0,0,35.5714285714286,0.94961620508616,0.512681756707413,7227.28571428571,0.1387121588487,36.8571428571429,0.23717037,1.21948120413626
01/10/2020,24154.4449173303,50230.5550826697,74385,703,0,0,42.8571428571429,0.944624378609258,0.512663236648383,7453.42857142857,0.146178667365524,35.530612244898,0.24517493,1.41542910029575
02/10/2020,25459.9422940354,52721.0577059646,78181,724,0,0,41.2857142857143,0.936790344081883,0.516116074710664,7677.57142857143,0.154253068133728,34.2040816326531,0.25052414,1.2769628840564
03/10/2020,26352.0727790238,54382.9272209762,80735,737,0,0,39.1428571428571,0.928956309554508,0.519568912772945,7861.28571428571,0.167656930333817,32.8775510204082,0.23405868,0.993099964373052
04/10/2020,27043.7191878636,55532.2808121364,82576,770,0,0,38.8571428571429,0.921122275027132,0.523021750835226,7988,0.18190490981297,31.5510204081633,0.21280038,0.568883781600322
05/10/2020,28086.0922625927,57609.9077374073,85696,798,0,0,38.1428571428571,0.913288240499757,0.526474588897507,7425.14285714286,0.194337505774688,30.2244897959184,0.2258363,0.687323582099246
06/10/2020,29563.0324003288,60588.9675996712,90152,834,0,0,40,0.905454205972382,0.529927426959788,7468.71428571429,0.222977590478089,28.8979591836735,0.21199679,1.10340331323883
07/10/2020,31494.9925552818,63995.0074447182,95490,884,0,0,39.7142857142857,0.897620171445007,0.533380265022069,7294,0.233033820738922,27.5714285714286,0.20990603,1.21108757883352
08/10/2020,33407.8533147755,67479.1466852245,100887,910,0,0,34.1428571428571,0.889786136917632,0.536833103084351,7298.57142857143,0.235678057138195,25.4693877551021,0.1869046,1.45978236311641
09/10/2020,36547.0942661716,72956.9057338285,109504,971,0,0,35,0.864253948960762,0.540182266797812,8096.85714285714,0.236830806829816,23.3673469387755,0.1760217,1.29011204816659
10/10/2020,38171.070230965,75967.929769035,114139,1023,0,0,37,0.838721761003892,0.543531430511273,8689.85714285714,0.248223803840458,21.265306122449,0.18040479,1.01622488515187
11/10/2020,39290.8414545601,77949.1585454399,117240,1065,0,0,38.7142857142857,0.813189573047023,0.546880594224735,8903.28571428571,0.257115599594983,19.1632653061225,0.19744705,0.564413582376745
12/10/2020,40807.2429228754,80743.7570771246,121551,1133,0,0,40.1428571428571,0.787657385090153,0.550229757938196,10438,0.267190493593364,17.061224489796,0.20700883,0.724056521582776
13/10/2020,43417.5287710479,86458.4712289521,129876,1185,0,0,39.4285714285714,0.762125197133284,0.553578921651658,11045.7142857143,0.26485817787011,14.9591836734694,0.22767792,1.05078709605932
14/10/2020,46914.0907133595,92505.9092866405,139420,1249,0,0,41.5714285714286,0.736593009176414,0.556928085365119,12534.5714285714,0.27032438136755,12.8571428571429,0.22871387,1.22947515514742
15/10/2020,50499.8044205877,98640.1955794123,149140,1309,0,0,43,0.711060821219545,0.56027724907858,14030.8571428571,0.272273429182532,9.24489795918372,0.22879625,1.43076513262364
16/10/2020,54811.9861151958,105433.013884804,160245,1389,0,0,40.1428571428571,0.702278000646044,0.560225800027278,14734.1428571429,0.278211278997096,5.63265306122453,0.22336379,1.41847501561477
17/10/2020,58067.9464666263,110889.053533374,168957,1469,0,0,40.4285714285714,0.693495180072544,0.560174350975975,15208.1428571429,0.283348633571075,2.02040816326534,0.21657619,0.93326622172516
18/10/2020,59916.086862615,114098.913137385,174015,1550,0,0,39.2857142857143,0.684712359499044,0.560122901924672,15744.7142857143,0.293843322951221,-1.59183673469384,0.21544038,0.555588832537157
