date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-05-04,736.058189963775,5571.0047845362,1097.89968596662,605.883283347461,0,25,90,144,420.909752981143,719.818620103112,338.304617422111,316.551752514326,19.2780612244898,191.32806122449,6.09132653061224,41.5520408163265,2201.15357052102,5809.69237329303,0,1,0,0,0.996623135149283,0.121399263375532,0.50954225715632,0.371428571428571,0.325,0.934912266211004,0.179,0.179,0.179,0.179
2020-05-05,741.892626317756,5593.50903904441,1100.40015868975,606.716774255172,0,25,93,144,424.805838918698,723.714706040667,340.688856348847,323.704469294533,19.2780612244898,194.32806122449,6.09132653061224,41.5520408163265,2213.50088536453,5829.01771294256,0,1,0,0,1.34509866535884,0.119122641509419,0.519937140664404,0.380952380952381,0.32,0.929703697099759,0.179,0.179,0.179,0.179
2020-05-06,746.735275991232,5617.72228741179,1102.47557997839,607.408581351383,0,25,93,147,427.466486947237,724.601588716847,344.800189898033,330.099877037712,19.2780612244898,196.470918367347,6.09132653061224,42.6234693877551,2224.74325969943,5849.59846503336,0,7,0,0,1.18960555103897,0.135739583333312,0.530332024172487,0.390476190476191,0.315,0.924495127988514,0.179,0.179,0.179,0.179
2020-05-07,754.266332051422,5668.76611181975,1110.00663603858,607.408581351383,0,25,96,148,428.990996523322,727.650607869017,347.945137729258,331.148192981453,19.2780612244898,200.756632653061,6.09132653061224,42.6234693877551,2248.83283084116,5891.61483041997,1,2,0,0,1.117419735498,0.12541599025973,0.54072690768057,0.4,0.31,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-08,760.462788453828,5706.83005829167,1112.66226021104,608.29378940887,0,25,98,151,429.627347053855,732.741412113281,351.374053568188,335.948675155956,19.2780612244898,206.113775510204,6.09132653061224,42.6234693877551,2267.49864998366,5920.75024638175,0,1,0,0,0.868435991165907,0.11009841363102,0.544822340449446,0.40952380952381,0.306428571428571,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-09,764.859783160527,5755.19700006535,1119.9905847222,608.29378940887,0,25,100,152,432.766719494124,734.311098333416,354.713343125786,340.401061232753,19.2780612244898,208.256632653061,6.09132653061224,42.6234693877551,2292.1664239869,5956.17473337005,0,0,0,0,0.742357080405746,0.118263888888882,0.548917773218321,0.419047619047619,0.302857142857143,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-10,767.476987164779,5774.82603009725,1121.29918672433,608.29378940887,0,25,103,152,434.421002261157,735.965381100449,357.443783425671,342.22135476601,19.2780612244898,211.470918367347,6.09132653061224,42.6234693877551,2301.09690316831,5970.79909022691,0,0,0,0,0.819194215443348,0.143168945312486,0.553013205987197,0.428571428571429,0.299285714285714,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-11,776.436691559162,5861.43650590961,1131.2544138292,610.284834829843,0,25,105,152,435.00105832459,738.28560535418,363.039614531874,349.216143648764,19.2780612244898,212.542346938775,6.09132653061224,43.6948979591837,2342.14034076351,6037.2721053643,0,1,0,0,1.19977313579301,0.158234126984115,0.557108638756072,0.438095238095238,0.295714285714286,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-12,778.816208059348,5897.12925341241,1132.84075816265,611.078006996572,0,25,107,153,435.538033851655,740.433507462438,365.430469129607,353.997852844228,19.2780612244898,214.685204081633,6.09132653061224,44.7663265306122,2358.74971717096,6061.11450946002,0,1,0,0,1.44548965380259,0.0909179687499864,0.561204071524948,0.447619047619048,0.292142857142857,0.919286558877269,0.179,0.179,0.179,0.179
2020-05-13,782.72538986736,5940.91208966214,1136.74993997067,611.859843358175,0,25,111,153,437.33914877225,744.035737303628,365.809843890032,358.550349969332,19.2780612244898,217.685204081633,6.09132653061224,45.7663265306122,2383.3315248807,6088.91573797764,1,1,0,0,1.19505152107077,0.119791666666633,0.565299504293823,0.457142857142857,0.288571428571429,0.919286558877269,0.179,0.179,0.179,0.179
