Date,RA,RS,D,I,Contacts,Masks,Dayadjust,tests,smP
13/08/2020,6871.00527828137,12418.9947217186,391,34.5714285714286,1.05735663403793,0.589756078135107,1.20179482370796,7793,219.877551020408
14/08/2020,7003.29915583239,12578.7008441676,394,35.2857142857143,1.05735663403793,0.589756078135107,0.858054733726927,4942,222.877551020408
15/08/2020,7091.00385381897,12688.996146181,395,36.5714285714286,1.05735663403793,0.589756078135107,0.758642375695942,2872,225.326530612245
16/08/2020,7141.17458552629,12759.8254144737,397,35.5714285714286,1.05735663403793,0.589756078135107,0.77269665952864,7192,227.489795918367
17/08/2020,7222.69071455855,12868.3092854415,399,35.2857142857143,1.05735663403793,0.589756078135107,1.03090037259212,7599,232.020408163265
18/08/2020,7315.94835647994,13056.0516435201,401,37.7142857142857,1.05735663403793,0.589756078135107,1.15453762067842,7545,236.163265306123
19/08/2020,7426.81427826765,13260.1857217324,404,36.5714285714286,1.05735663403793,0.589756078135107,1.13434032539263,8218,239.775510204081
20/08/2020,7507.48190832546,13426.5180916745,406,38.1428571428571,1.05735663403793,0.589756078135107,1.20179482370796,9682,239.244897959184
21/08/2020,7699.0390511826,13740.9609488174,411,39,1.05735663403793,0.589756078135107,0.858054733726927,5022,243.836734693877
22/08/2020,7790.71028405931,13888.2897159407,411,41,1.05735663403793,0.589756078135107,0.758642375695942,2397,248.795918367347
23/08/2020,7837.86482951386,13974.1351704861,412,39.2857142857143,1.05735663403793,0.589756078135107,0.77269665952864,7396,253.938775510204
24/08/2020,7940.62754137826,14129.3724586217,415,39.2857142857143,1.05735663403793,0.589756078135107,1.03090037259212,8757,259.469387755102
25/08/2020,8067.26012923769,14369.7398707623,416,37.2857142857143,1.05735663403793,0.589756078135107,1.15453762067842,8853,266.918367346938
26/08/2020,8194.70457368213,14645.2954263179,418,36.2857142857143,1.05735663403793,0.589756078135107,1.13434032539263,9193,275.693877551021
27/08/2020,8264.60298638055,14793.3970136195,418,29.1428571428571,1.05735663403793,0.589756078135107,1.20179482370796,10790,285.489795918367
28/08/2020,8503.46012923769,15162.5398707623,419,25.9428571428571,1.05735663403793,0.589756078135107,0.858054733726927,6568,293
